TIME	Sat + Tue				Sat	Sun + Wed				Sun	Mon	Tue	Wed	Thu	Fri
	MM	ML	PMG	Econ	MM-lab	MM	ML	PMG	Econ	MM-lab	MM-lab	MM-lab	MM-lab	xxx	xxx
8:30		A	RJR-A	SCT-D	MSTR-A	I	AsAr-B	RJR-E		C		ArBh-F	I	x	x
						K							L	x	x
9:50	J		MdMH-B			MSTR-D		MdMH-F	TaA-E					x	x
11:10	MSTR-A		RJR-C	TaA-C	ArBh-B	ArBh-F	SaIs-G	MdMH-G	F	RNF-D	MfSh-M	G	RNF-J	x	x
12:30	C	Ojn-E		AAsh-A		ArBh-H								x	x
13:50	E	D	MdMH-D	TaA-B			KFT-F	SSSf-H	SMRn-G	AbHn-E		MSTR-H	K	x	x
													N	x	x
15:10						MSTR-B	SaIs-C	SSSf-I	SMRn-H					x	x
