TIME	Sat + Tue		Sat		Sun + Wed		Sun		Mon	Tue		Wed		Thu	Fri
	PMG	SE	AI-lab	SE-lab	PMG	SE	AI-lab	SE-lab	AI-lab	AI-lab	SE-lab	AI-lab	SE-lab	xxx	xxx
8:30	RJR-A	SaKar-A	A	KShEM-A	RJR-E	E	D	MMIN-E	JHP-G		I	J	MMIN-M	x	x
											SdACh-L			x	x
9:50	MdMH-B	MMIN-K			MdMH-F	SaKar-F								x	x
11:10	RJR-C	B	FzAn-B	SaMb-B	MdMH-G	MBAd-G		SdAh-F	SHMm-E	H	SdACh-J	K	N	x	x
				D				ArMd-H					ArMd-P	x	x
12:30		C				SSSk-H								x	x
13:50	MdMH-D	SSSk-D	C	C	SSSf-H	MBAd-I	F	SSSk-G	JHP-I		K	L	SSSk-O	x	x
15:10		L			SSSf-I	J								x	x
