TIME	Sat + Tue				Sat	Sun + Wed				Sun	Mon	Tue	Wed	Thu	Fri
	Econ	ML	MM	PMG	MM-lab	Econ	ML	MM	PMG	MM-lab	MM-lab	MM-lab	MM-lab	xxx	xxx
8:30	SCT-D	A		RJR-A	MSTR-A		AsAr-B	I	RJR-E	C		ArBh-F	I	x	x
								K					L	x	x
9:50			J	MdMH-B		TaA-E		MSTR-D	MdMH-F					x	x
11:10	TaA-C		MSTR-A	RJR-C	ArBh-B	F	SaIs-G	ArBh-F	MdMH-G	RNF-D	MfSh-M	G	RNF-J	x	x
12:30	AAsh-A	Ojn-E	C					ArBh-H						x	x
13:50	TaA-B	D	E	MdMH-D		SMRn-G	F		SSSf-H	AbHn-E		MSTR-H	K	x	x
													N	x	x
15:10						SMRn-H	SaIs-C	MSTR-B	SSSf-I					x	x
