TIME	Sat + Tue			Sat		Sun + Wed			Sun			Mon		Tue			Wed			Thu	Fri
	SE	CN	AI	SE-lab	AI-lab	SE	CN	AI	SE-lab	CN-lab	AI-lab	CN-lab	AI-lab	SE-lab	CN-lab	AI-lab	SE-lab	CN-lab	AI-lab	xxx	xxx
8:30	SaKar-A	ASKP-A	A	KShEM-A	KFT-A	E	AKMMI-F	KFT-I	MMIN-E		D	TaH-A	JHP-G	I	E		MMIN-M	AIMM-I	ANTC-J	x	x
			C											SdACh-L				L		x	x
9:50	MMIN-K	MNK-B	NaFA-B			SaKar-F	G	FzAn-J												x	x
11:10	B	ASKP-C	ShAhd-D	SaMb-B	FzAn-B	MBAd-G	AKMMI-H	K	SdAh-F	TaH-B		SBZ-F	SHMm-E	SdACh-J	TaH-H	KFT-H	N	J	K	x	x
				D					ArMd-H	D							ArMd-P			x	x
12:30	C	AIMM-D				SSSk-H	I	FzAn-G												x	x
13:50	SSSk-D	AIMM-E	FzAn-E	C	ANTC-C	MBAd-I	ME-J	KAN-H	SSSk-G	AIMM-C	F	TaH-G	JHP-I	K			SSSk-O	MdMH-K	L	x	x
15:10	L					J	ME-K	NaFA-F												x	x
